side,target_atr,stop_atr,target_ticks,stop_ticks,horizon,n,ties,tie_rate,target_first,stop_first,unresolved,gap_ns_median
1,0.75,0.5,18.21147077777238,12.14098051851492,15,119,14,0.11764705882352941,5,9,0,177358143245.0
1,0.75,0.5,18.21147077777238,12.14098051851492,30,119,17,0.14285714285714285,5,12,0,192395676690.0
1,0.75,0.5,18.21147077777238,12.14098051851492,60,119,17,0.14285714285714285,5,12,0,192395676690.0
1,0.75,0.75,18.21147077777238,18.21147077777238,15,119,13,0.1092436974789916,3,10,0,175686094832.0
1,0.75,0.75,18.21147077777238,18.21147077777238,30,119,14,0.11764705882352941,3,11,0,178778718052.0
1,0.75,0.75,18.21147077777238,18.21147077777238,60,119,14,0.11764705882352941,3,11,0,178778718052.0
1,0.75,1.0,18.21147077777238,24.28196103702984,15,119,6,0.05042016806722689,2,4,0,156157937170.0
1,0.75,1.0,18.21147077777238,24.28196103702984,30,119,8,0.06722689075630252,3,5,0,180145109898.0
1,0.75,1.0,18.21147077777238,24.28196103702984,60,119,8,0.06722689075630252,3,5,0,180145109898.0
1,0.75,1.5,18.21147077777238,36.42294155554476,15,119,4,0.03361344537815126,1,3,0,206820093070.0
1,0.75,1.5,18.21147077777238,36.42294155554476,30,119,5,0.04201680672268908,2,3,0,250629278878.0
1,0.75,1.5,18.21147077777238,36.42294155554476,60,119,5,0.04201680672268908,2,3,0,250629278878.0
1,1.0,0.5,24.28196103702984,12.14098051851492,15,119,6,0.05042016806722689,3,3,0,174673499451.0
1,1.0,0.5,24.28196103702984,12.14098051851492,30,119,9,0.07563025210084033,3,6,0,199582956950.0
1,1.0,0.5,24.28196103702984,12.14098051851492,60,119,9,0.07563025210084033,3,6,0,199582956950.0
1,1.0,0.75,24.28196103702984,18.21147077777238,15,119,3,0.025210084033613446,1,2,0,154508931360.0
1,1.0,0.75,24.28196103702984,18.21147077777238,30,119,5,0.04201680672268908,1,4,0,205739431254.0
1,1.0,0.75,24.28196103702984,18.21147077777238,60,119,5,0.04201680672268908,1,4,0,205739431254.0
1,1.0,1.0,24.28196103702984,24.28196103702984,15,119,2,0.01680672268907563,0,2,0,143677171331.0
1,1.0,1.0,24.28196103702984,24.28196103702984,30,119,4,0.03361344537815126,0,4,0,164442215159.0
1,1.0,1.0,24.28196103702984,24.28196103702984,60,119,4,0.03361344537815126,0,4,0,164442215159.0
1,1.0,1.5,24.28196103702984,36.42294155554476,15,119,1,0.008403361344537815,0,1,0,147933492416.0
1,1.0,1.5,24.28196103702984,36.42294155554476,30,119,1,0.008403361344537815,0,1,0,147933492416.0
1,1.0,1.5,24.28196103702984,36.42294155554476,60,119,1,0.008403361344537815,0,1,0,147933492416.0
1,1.5,0.5,36.42294155554476,12.14098051851492,15,119,2,0.01680672268907563,1,1,0,168288373939.0
1,1.5,0.5,36.42294155554476,12.14098051851492,30,119,2,0.01680672268907563,1,1,0,168288373939.0
1,1.5,0.5,36.42294155554476,12.14098051851492,60,119,2,0.01680672268907563,1,1,0,168288373939.0
1,1.5,0.75,36.42294155554476,18.21147077777238,15,119,2,0.01680672268907563,1,1,0,221339811489.0
1,1.5,0.75,36.42294155554476,18.21147077777238,30,119,2,0.01680672268907563,1,1,0,221339811489.0
1,1.5,0.75,36.42294155554476,18.21147077777238,60,119,2,0.01680672268907563,1,1,0,221339811489.0
1,1.5,1.0,36.42294155554476,24.28196103702984,15,119,1,0.008403361344537815,1,0,0,294747494026.0
1,1.5,1.0,36.42294155554476,24.28196103702984,30,119,1,0.008403361344537815,1,0,0,294747494026.0
1,1.5,1.0,36.42294155554476,24.28196103702984,60,119,1,0.008403361344537815,1,0,0,294747494026.0
1,1.5,1.5,36.42294155554476,36.42294155554476,15,119,1,0.008403361344537815,1,0,0,294842553304.0
1,1.5,1.5,36.42294155554476,36.42294155554476,30,119,1,0.008403361344537815,1,0,0,294842553304.0
1,1.5,1.5,36.42294155554476,36.42294155554476,60,119,1,0.008403361344537815,1,0,0,294842553304.0
1,2.0,0.5,48.56392207405968,12.14098051851492,15,119,0,0.0,0,0,0,
1,2.0,0.5,48.56392207405968,12.14098051851492,30,119,0,0.0,0,0,0,
1,2.0,0.5,48.56392207405968,12.14098051851492,60,119,0,0.0,0,0,0,
1,2.0,0.75,48.56392207405968,18.21147077777238,15,119,0,0.0,0,0,0,
1,2.0,0.75,48.56392207405968,18.21147077777238,30,119,0,0.0,0,0,0,
1,2.0,0.75,48.56392207405968,18.21147077777238,60,119,0,0.0,0,0,0,
1,2.0,1.0,48.56392207405968,24.28196103702984,15,119,0,0.0,0,0,0,
1,2.0,1.0,48.56392207405968,24.28196103702984,30,119,0,0.0,0,0,0,
1,2.0,1.0,48.56392207405968,24.28196103702984,60,119,0,0.0,0,0,0,
1,2.0,1.5,48.56392207405968,36.42294155554476,15,119,0,0.0,0,0,0,
1,2.0,1.5,48.56392207405968,36.42294155554476,30,119,0,0.0,0,0,0,
1,2.0,1.5,48.56392207405968,36.42294155554476,60,119,0,0.0,0,0,0,
1,3.0,0.5,72.84588311108952,12.14098051851492,15,119,0,0.0,0,0,0,
1,3.0,0.5,72.84588311108952,12.14098051851492,30,119,0,0.0,0,0,0,
1,3.0,0.5,72.84588311108952,12.14098051851492,60,119,0,0.0,0,0,0,
1,3.0,0.75,72.84588311108952,18.21147077777238,15,119,0,0.0,0,0,0,
1,3.0,0.75,72.84588311108952,18.21147077777238,30,119,0,0.0,0,0,0,
1,3.0,0.75,72.84588311108952,18.21147077777238,60,119,0,0.0,0,0,0,
1,3.0,1.0,72.84588311108952,24.28196103702984,15,119,0,0.0,0,0,0,
1,3.0,1.0,72.84588311108952,24.28196103702984,30,119,0,0.0,0,0,0,
1,3.0,1.0,72.84588311108952,24.28196103702984,60,119,0,0.0,0,0,0,
1,3.0,1.5,72.84588311108952,36.42294155554476,15,119,0,0.0,0,0,0,
1,3.0,1.5,72.84588311108952,36.42294155554476,30,119,0,0.0,0,0,0,
1,3.0,1.5,72.84588311108952,36.42294155554476,60,119,0,0.0,0,0,0,
1,4.0,0.5,97.12784414811937,12.14098051851492,15,119,0,0.0,0,0,0,
1,4.0,0.5,97.12784414811937,12.14098051851492,30,119,0,0.0,0,0,0,
1,4.0,0.5,97.12784414811937,12.14098051851492,60,119,0,0.0,0,0,0,
1,4.0,0.75,97.12784414811937,18.21147077777238,15,119,0,0.0,0,0,0,
1,4.0,0.75,97.12784414811937,18.21147077777238,30,119,0,0.0,0,0,0,
1,4.0,0.75,97.12784414811937,18.21147077777238,60,119,0,0.0,0,0,0,
1,4.0,1.0,97.12784414811937,24.28196103702984,15,119,0,0.0,0,0,0,
1,4.0,1.0,97.12784414811937,24.28196103702984,30,119,0,0.0,0,0,0,
1,4.0,1.0,97.12784414811937,24.28196103702984,60,119,0,0.0,0,0,0,
1,4.0,1.5,97.12784414811937,36.42294155554476,15,119,0,0.0,0,0,0,
1,4.0,1.5,97.12784414811937,36.42294155554476,30,119,0,0.0,0,0,0,
1,4.0,1.5,97.12784414811937,36.42294155554476,60,119,0,0.0,0,0,0,
1,0.75,0.5,19.5689751069142,13.045983404609466,15,33,3,0.09090909090909091,0,3,0,129907301956.0
1,0.75,0.5,19.5689751069142,13.045983404609466,30,33,3,0.09090909090909091,0,3,0,129907301956.0
1,0.75,0.5,19.5689751069142,13.045983404609466,60,33,3,0.09090909090909091,0,3,0,129907301956.0
1,0.75,0.75,19.5689751069142,19.5689751069142,15,33,1,0.030303030303030304,0,1,0,129038929552.0
1,0.75,0.75,19.5689751069142,19.5689751069142,30,33,1,0.030303030303030304,0,1,0,129038929552.0
1,0.75,0.75,19.5689751069142,19.5689751069142,60,33,1,0.030303030303030304,0,1,0,129038929552.0
1,0.75,1.0,19.5689751069142,26.09196680921893,15,33,0,0.0,0,0,0,
1,0.75,1.0,19.5689751069142,26.09196680921893,30,33,0,0.0,0,0,0,
1,0.75,1.0,19.5689751069142,26.09196680921893,60,33,0,0.0,0,0,0,
1,0.75,1.5,19.5689751069142,39.1379502138284,15,33,0,0.0,0,0,0,
