bucket,vol_state,side,target_atr,stop_atr,horizon,n,target,stop,target_max,stop_min,open_pnl,cost_atr,p_target,p_target_max,p_stop,p_neither,ev_barrier,ev_open,ev_lo,ev_hi,cost,p_null,ev_null,ev_delta,lift,mde,thin,beats_mde,passes,undecided,ev_mirror,ev_sym
"(14.0, inf]",CONTRACTING,-1,4.0,0.75,30,855,29,468,29,468,306.62006695787073,21.95308796592333,0.03391812865497076,0.03391812865497076,0.5473684210526316,0.4187134502923976,-0.27485380116959063,0.3586199613542348,0.05809003390871041,0.05809003390871042,0.02567612627593372,0.02674933569530558,-0.04480599200276276,0.10289602591147318,0.007168792959665177,0.04343120095019073,False,False,False,False,-0.053332543128010404,0.002378745390350004
"(14.0, inf]",EXPANDING,1,1.5,1.5,60,2541,1004,911,1006,909,68.38786858763385,60.8751728936191,0.39512003148366787,0.39590712317985044,0.3585202676111767,0.24635970090515547,0.05489964580873672,0.026913761742476918,0.05785623600708963,0.060217511095637444,0.023957171544124006,0.3920099875156055,0.0500354396745052,0.00782079633258443,0.0031100439680623593,0.419230406835497,False,False,False,False,-0.10813185418388546,-0.025137809088397915
"(14.0, inf]",CONTRACTING,-1,4.0,1.5,60,848,73,318,73,318,255.59914650378977,21.794415002467627,0.08608490566037735,0.08608490566037735,0.375,0.5389150943396226,-0.21816037735849056,0.30141408785824264,0.057552749411936485,0.057552749411936485,0.025700961087815596,0.07116104868913857,-0.11499644994764545,0.17254919935958193,0.014923856971238783,0.097019195517899,False,False,False,False,-0.1524570060459992,-0.04745212831703136
"(14.0, inf]",EXPANDING,1,2.0,1.0,60,2541,602,1341,603,1340,335.191058931408,60.8751728936191,0.2369146005509642,0.23730814639905548,0.5277449822904369,0.235340417158599,-0.05391578118850846,0.13191304955978275,0.0540400968271503,0.055220734371424204,0.023957171544124006,0.23738184412341715,0.04345953032317402,0.010580566503976284,-0.00046724357245295223,0.2612601197658569,False,False,False,False,-0.07939480089586168,-0.012677352034355688
"(10.0, 14.0]",CONTRACTING,1,4.0,1.5,30,1665,24,444,24,444,722.4127811631181,63.50327803363372,0.014414414414414415,0.014414414414414415,0.26666666666666666,0.7189189189189189,-0.34234234234234234,0.433881550248119,0.053399100978669296,0.05339910097866929,0.03814010692710734,0.01709505334626576,-0.0002771694388964202,0.053676270417565716,-0.002680638931851347,0.026642896268639547,False,False,False,False,-0.09151333402726296,-0.01905711652429683
"(14.0, inf]",EXPANDING,1,2.0,0.75,60,2541,542,1573,545,1570,291.67188995180703,60.8751728936191,0.21330184966548604,0.21448248720975993,0.6190476190476191,0.1676505312868949,-0.03768201495474223,0.11478626129547699,0.05314707479661076,0.056393828043364,0.023957171544124006,0.21366149456037095,0.041308293202312045,0.011838781594298714,-0.00035964489488490847,0.2366954823345823,False,False,False,False,-0.06364106454346685,-0.0052469948734280465
"(14.0, inf]",CONTRACTING,-1,2.0,1.0,30,855,171,358,171,358,83.08170556149146,21.95308796592333,0.2,0.2,0.41871345029239765,0.3812865497076024,-0.01871345029239766,0.0971715854520368,0.05278200888370541,0.05278200888370541,0.02567612627593372,0.16527900797165634,-0.04811010655227862,0.10089211543598403,0.03472099202834367,0.2017260934128208,False,False,False,False,-0.06553859675904697,-0.006378293937670778
"(14.0, inf]",EXPANDING,1,4.0,1.5,30,2551,43,706,43,706,1081.417290808362,61.10121343036764,0.01685613484907879,0.01685613484907879,0.27675421403371225,0.706389651117209,-0.3477067816542532,0.42391896934863266,0.052260320414737084,0.05226032041473708,0.023951867279642353,0.014348981399468556,0.013247451809326018,0.03901286860541107,0.002507153449610236,0.021373878754041953,False,False,False,False,-0.08026457053460252,-0.01400212505993272
"(10.0, 14.0]",CONTRACTING,1,1.5,1.0,30,1665,437,664,437,664,155.95942636170622,63.50327803363372,0.26246246246246246,0.26246246246246246,0.3987987987987988,0.33873873873873867,-0.005105105105105105,0.0936693251421659,0.050424113109953456,0.050424113109953456,0.03814010692710734,0.25836566440349173,-0.006614606745470892,0.057038719855424344,0.00409679805897073,0.288738592457428,False,False,False,False,-0.11280691059207901,-0.031191398741062776
"(14.0, inf]",EXPANDING,1,4.0,0.5,60,2541,91,1878,91,1878,762.5807141956861,60.8751728936191,0.03581267217630854,0.03581267217630854,0.7390791027154664,0.22510822510822504,-0.226288862652499,0.3001104739062126,0.04986443970958955,0.04986443970958955,0.023957171544124006,0.0299625468164794,0.0045528667036786805,0.04531157300591087,0.00585012535982914,0.03985741633761649,False,False,False,False,-0.07360799924687209,-0.011871779768641268
