phase,n,mean_bp,resid_bp,se_bp,cost_bp,t,edge_lo,clears
Asia,6508,0.2909432691812434,0.10314429872229464,0.26208424425547283,0.3508288331733187,0.3935539849612336,-0.421024189788651,False
Asia-London,814,0.9794104448581626,0.7916114743992136,0.6423295978823428,0.35095639334291956,1.2324069714505281,-0.4930477213654719,False
London,4070,0.24632932764547624,0.058530357186527424,0.30042904189560377,0.3498250883299606,0.19482256714337945,-0.5423277266046801,False
London-NY,1223,-0.29919129517021154,-0.4869902656291603,0.8082270546031068,0.3501575709069081,-0.6025414057294888,-1.1294638435770534,False
NY,3257,-0.2538008307844413,-0.44159980124339004,0.4887421801510037,0.3498513131918934,-0.9035434615177917,-0.5358845590586173,False
NY-Asia,2372,0.39017091713658847,0.2023719466776397,0.3779972286481307,0.35041611963542557,0.5353794455091714,-0.5536225106186217,False
