bucket,phase,near_event,n,target,stop,target_max,stop_min,open_pnl
"(0.0, 7.0]",Asia,False,12466.0,1142.0,4389.0,1145.0,4386.0,3133.4231289851937
"(0.0, 7.0]",Asia-London,False,1173.0,145.0,518.0,145.0,518.0,288.5859916572656
"(0.0, 7.0]",London,False,6455.0,855.0,2565.0,856.0,2564.0,1548.9989699824146
"(0.0, 7.0]",London-NY,False,483.0,121.0,261.0,123.0,259.0,62.63498084867149
"(0.0, 7.0]",London-NY,True,8.0,1.0,7.0,1.0,7.0,0.0
"(0.0, 7.0]",NY,False,1712.0,119.0,595.0,119.0,595.0,401.13317612277234
"(0.0, 7.0]",NY-Asia,False,5775.0,317.0,1390.0,319.0,1388.0,1235.757892255572
"(0.0, 7.0]",NY-Asia,True,22.0,4.0,18.0,8.0,14.0,0.0
"(7.0, 10.0]",Asia,False,9042.0,817.0,2937.0,818.0,2936.0,2127.009115055053
"(7.0, 10.0]",Asia-London,False,1429.0,117.0,463.0,117.0,463.0,367.13594081729775
"(7.0, 10.0]",London,False,8389.0,648.0,2828.0,651.0,2825.0,1876.2817671954558
"(7.0, 10.0]",London-NY,False,1675.0,292.0,810.0,299.0,803.0,297.1728578567058
"(7.0, 10.0]",London-NY,True,37.0,6.0,29.0,14.0,21.0,2.2690869180075666
"(7.0, 10.0]",NY,False,3563.0,273.0,964.0,273.0,964.0,806.1433647275356
"(7.0, 10.0]",NY-Asia,False,3791.0,225.0,948.0,225.0,948.0,823.2313134649112
"(7.0, 10.0]",NY-Asia,True,17.0,3.0,12.0,3.0,12.0,3.128161065979851
"(10.0, 14.0]",Asia,False,7729.0,676.0,2271.0,677.0,2270.0,1581.96002038175
"(10.0, 14.0]",Asia-London,False,1271.0,62.0,400.0,62.0,400.0,307.05022687325896
"(10.0, 14.0]",London,False,5839.0,425.0,1663.0,425.0,1663.0,1248.9157132183136
"(10.0, 14.0]",London-NY,False,2268.0,348.0,906.0,349.0,905.0,540.0846389634335
"(10.0, 14.0]",London-NY,True,79.0,17.0,52.0,17.0,52.0,8.800770165242678
"(10.0, 14.0]",NY,False,5079.0,401.0,1397.0,403.0,1395.0,917.9124290815346
"(10.0, 14.0]",NY-Asia,False,2371.0,129.0,578.0,131.0,576.0,464.3322685770122
"(10.0, 14.0]",NY-Asia,True,15.0,6.0,7.0,9.0,4.0,1.9091080334399884
"(14.0, inf]",Asia,False,7719.0,626.0,2134.0,633.0,2127.0,1278.45193740695
"(14.0, inf]",Asia-London,False,1011.0,64.0,297.0,64.0,297.0,123.9647091137106
"(14.0, inf]",London,False,3737.0,331.0,986.0,334.0,983.0,715.264109920134
"(14.0, inf]",London-NY,False,2662.0,354.0,985.0,354.0,985.0,511.84235881237583
"(14.0, inf]",London-NY,True,121.0,31.0,35.0,31.0,35.0,13.86467994850436
"(14.0, inf]",NY,False,9185.0,863.0,2656.0,873.0,2646.0,1311.9478502826364
"(14.0, inf]",NY-Asia,False,2199.0,169.0,609.0,173.0,605.0,333.2394196146688
"(14.0, inf]",NY-Asia,True,37.0,14.0,16.0,14.0,16.0,6.9404082546171155
