bucket,phase,near_event,n,target,stop,target_max,stop_min,open_pnl
"(0.0, 7.0]",Asia,False,12466.0,1068.0,6428.0,1076.0,6420.0,3655.749333199142
"(0.0, 7.0]",Asia-London,False,1173.0,152.0,675.0,152.0,675.0,318.7029337609193
"(0.0, 7.0]",London,False,6455.0,692.0,3742.0,692.0,3742.0,1613.3233063113394
"(0.0, 7.0]",London-NY,False,483.0,73.0,348.0,75.0,346.0,62.878078801495214
"(0.0, 7.0]",London-NY,True,8.0,5.0,3.0,5.0,3.0,0.0
"(0.0, 7.0]",NY,False,1712.0,130.0,840.0,130.0,840.0,542.8616360949425
"(0.0, 7.0]",NY-Asia,False,5775.0,249.0,2461.0,257.0,2453.0,1785.9579714357037
"(0.0, 7.0]",NY-Asia,True,22.0,4.0,18.0,11.0,11.0,0.0
"(7.0, 10.0]",Asia,False,9042.0,663.0,4569.0,663.0,4569.0,2702.215351139386
"(7.0, 10.0]",Asia-London,False,1429.0,95.0,770.0,95.0,770.0,469.553988145874
"(7.0, 10.0]",London,False,8389.0,542.0,4275.0,544.0,4273.0,2651.426324007354
"(7.0, 10.0]",London-NY,False,1675.0,226.0,1019.0,231.0,1014.0,434.6747647049426
"(7.0, 10.0]",London-NY,True,37.0,16.0,21.0,20.0,17.0,0.0
"(7.0, 10.0]",NY,False,3563.0,163.0,1745.0,163.0,1745.0,1098.064272818423
"(7.0, 10.0]",NY-Asia,False,3791.0,169.0,1692.0,169.0,1692.0,1208.4653213032007
"(7.0, 10.0]",NY-Asia,True,17.0,7.0,10.0,7.0,10.0,0.0
"(10.0, 14.0]",Asia,False,7729.0,447.0,3756.0,448.0,3755.0,2387.717737024455
"(10.0, 14.0]",Asia-London,False,1271.0,46.0,620.0,46.0,620.0,494.7277476100516
"(10.0, 14.0]",London,False,5839.0,337.0,2848.0,338.0,2847.0,1716.5233783583867
"(10.0, 14.0]",London-NY,False,2268.0,226.0,1411.0,227.0,1410.0,593.6807530044828
"(10.0, 14.0]",London-NY,True,79.0,21.0,48.0,23.0,46.0,7.449650100122224
"(10.0, 14.0]",NY,False,5079.0,239.0,2359.0,241.0,2357.0,1711.051904514763
"(10.0, 14.0]",NY-Asia,False,2371.0,96.0,1050.0,98.0,1048.0,750.6238148507513
"(10.0, 14.0]",NY-Asia,True,15.0,0.0,15.0,0.0,15.0,0.0
"(14.0, inf]",Asia,False,7719.0,441.0,3569.0,449.0,3561.0,2316.3169962740885
"(14.0, inf]",Asia-London,False,1011.0,52.0,411.0,52.0,411.0,333.4306068953206
"(14.0, inf]",London,False,3737.0,151.0,1741.0,155.0,1737.0,1110.4785789568627
"(14.0, inf]",London-NY,False,2662.0,184.0,1459.0,189.0,1454.0,838.8435152291114
"(14.0, inf]",London-NY,True,121.0,18.0,83.0,18.0,83.0,13.978667371522544
"(14.0, inf]",NY,False,9185.0,450.0,4425.0,457.0,4418.0,2956.8529626088603
"(14.0, inf]",NY-Asia,False,2199.0,146.0,928.0,148.0,926.0,569.424782823734
"(14.0, inf]",NY-Asia,True,37.0,4.0,29.0,4.0,29.0,4.972390108848799
