month,bucket,phase,vol_state,side,target_atr,stop_atr,target_ticks,stop_ticks,horizon,n,ties,tie_rate,target_first,stop_first,unresolved,gap_ns_median
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,1.5,1.5,17.611127209504826,17.611127209504826,60,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,2.0,0.5,23.481502946006433,5.870375736501608,15,377,1,0.002652519893899204,0,1,0,141506503336.0
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,2.0,0.5,23.481502946006433,5.870375736501608,30,377,1,0.002652519893899204,0,1,0,141506503336.0
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,2.0,0.5,23.481502946006433,5.870375736501608,60,377,1,0.002652519893899204,0,1,0,141506503336.0
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,2.0,0.75,23.481502946006433,8.805563604752413,15,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,2.0,0.75,23.481502946006433,8.805563604752413,30,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,2.0,0.75,23.481502946006433,8.805563604752413,60,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,2.0,1.0,23.481502946006433,11.740751473003217,15,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,2.0,1.0,23.481502946006433,11.740751473003217,30,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,2.0,1.0,23.481502946006433,11.740751473003217,60,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,2.0,1.5,23.481502946006433,17.611127209504826,15,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,2.0,1.5,23.481502946006433,17.611127209504826,30,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,2.0,1.5,23.481502946006433,17.611127209504826,60,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,3.0,0.5,35.22225441900965,5.870375736501608,15,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,3.0,0.5,35.22225441900965,5.870375736501608,30,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,3.0,0.5,35.22225441900965,5.870375736501608,60,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,3.0,0.75,35.22225441900965,8.805563604752413,15,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,3.0,0.75,35.22225441900965,8.805563604752413,30,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,3.0,0.75,35.22225441900965,8.805563604752413,60,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,3.0,1.0,35.22225441900965,11.740751473003217,15,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,3.0,1.0,35.22225441900965,11.740751473003217,30,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,3.0,1.0,35.22225441900965,11.740751473003217,60,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,3.0,1.5,35.22225441900965,17.611127209504826,15,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,3.0,1.5,35.22225441900965,17.611127209504826,30,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,3.0,1.5,35.22225441900965,17.611127209504826,60,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,4.0,0.5,46.963005892012866,5.870375736501608,15,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,4.0,0.5,46.963005892012866,5.870375736501608,30,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,4.0,0.5,46.963005892012866,5.870375736501608,60,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,4.0,0.75,46.963005892012866,8.805563604752413,15,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,4.0,0.75,46.963005892012866,8.805563604752413,30,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,4.0,0.75,46.963005892012866,8.805563604752413,60,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,4.0,1.0,46.963005892012866,11.740751473003217,15,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,4.0,1.0,46.963005892012866,11.740751473003217,30,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,4.0,1.0,46.963005892012866,11.740751473003217,60,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,4.0,1.5,46.963005892012866,17.611127209504826,15,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,4.0,1.5,46.963005892012866,17.611127209504826,30,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,CONTRACTING,1,4.0,1.5,46.963005892012866,17.611127209504826,60,377,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,0.75,0.5,9.855048230905748,6.570032153937165,15,399,28,0.07017543859649122,12,16,0,166932697256.0
