timestamp,delta,volume,trades,open,high,low,close,session,cvd,cvd_slope,cvd_persistence,price_efficiency,session_phase,realized_vol,regime
2026-07-01 00:00:00+00:00,36,136,112,4018.9,4021.0,4018.2,4019.7,2026-07-01,36,,,,asia,,
2026-07-01 00:05:00+00:00,4,92,67,4019.0,4020.6,4018.2,4019.8,2026-07-01,40,,,,asia,0.0003754071673640157,
2026-07-01 00:10:00+00:00,39,141,96,4021.0,4022.7,4020.1,4021.6,2026-07-01,79,,,,asia,0.0002921123480548275,
2026-07-01 00:15:00+00:00,-62,281,216,4021.7,4022.1,4014.6,4015.6,2026-07-01,17,,,,asia,0.00028339823614385103,
2026-07-01 00:20:00+00:00,62,245,212,4015.4,4019.6,4014.7,4018.4,2026-07-01,79,,,,asia,0.0003291667473571072,
2026-07-01 00:25:00+00:00,-73,469,239,4017.8,4019.2,4013.0,4015.0,2026-07-01,6,,,,asia,0.0003541126909921594,
2026-07-01 00:30:00+00:00,15,171,143,4015.0,4018.7,4014.0,4016.2,2026-07-01,21,,,,asia,0.00035987766798907506,
2026-07-01 00:35:00+00:00,-18,175,119,4016.5,4018.1,4014.0,4014.0,2026-07-01,3,,,,asia,0.0003444188069614504,
2026-07-01 00:40:00+00:00,21,649,449,4014.2,4014.4,4008.4,4009.5,2026-07-01,24,,,,asia,0.00034535108140514487,
2026-07-01 00:45:00+00:00,-17,193,156,4009.4,4010.3,4008.0,4008.7,2026-07-01,7,,,,asia,0.00037002961045741456,
2026-07-01 00:50:00+00:00,-3,284,220,4009.3,4011.6,4006.0,4007.1,2026-07-01,4,,,,asia,0.0003403307632762606,
2026-07-01 00:55:00+00:00,35,240,197,4007.0,4012.9,4006.9,4010.2,2026-07-01,39,-3.4020979020978985,0.1012987012987013,0.568862275449108,asia,0.0003601991112738124,2.0
2026-07-01 01:00:00+00:00,70,878,673,4010.5,4013.2,4002.8,4003.3,2026-07-01,109,-0.05594405594405501,0.17422434367541767,0.8291457286432312,asia,0.00035483530024210815,2.0
2026-07-01 01:05:00+00:00,-111,813,563,4003.2,4004.0,3995.5,3998.4,2026-07-01,-2,-1.3076923076923082,0.07984790874524715,0.8529411764705872,asia,0.00041110921787895684,2.0
2026-07-01 01:10:00+00:00,-24,491,392,3998.1,3998.6,3991.6,3997.5,2026-07-01,-26,-1.4160839160839138,0.2054794520547945,0.5934426229508167,asia,0.0005038764827272552,2.0
2026-07-01 01:15:00+00:00,-10,436,350,3996.8,3997.6,3988.6,3994.8,2026-07-01,-36,-3.9930069930069925,0.11546840958605664,0.7612903225806422,asia,0.0005276542030811771,2.0
2026-07-01 01:20:00+00:00,59,352,273,3994.5,3999.0,3993.7,3996.2,2026-07-01,23,-1.1118881118881112,0.12280701754385964,0.6143790849673281,asia,0.0005856939047380592,2.0
2026-07-01 01:25:00+00:00,27,204,163,3997.3,3998.9,3994.4,3998.6,2026-07-01,50,-0.11888111888111946,0.1073170731707317,0.5847176079734206,asia,0.0005765526110601126,2.0
2026-07-01 01:30:00+00:00,41,541,410,3998.5,4001.6,3989.6,3992.6,2026-07-01,91,2.8251748251748254,0.16055045871559634,0.7254237288135624,asia,0.0005766413435623401,2.0
2026-07-01 01:35:00+00:00,62,333,259,3992.9,3993.9,3988.3,3988.3,2026-07-01,153,6.846153846153845,0.3125,0.8122605363984633,asia,0.0006132146483037776,2.0
2026-07-01 01:40:00+00:00,28,214,175,3988.6,3993.1,3987.3,3992.0,2026-07-01,181,11.849650349650345,0.32238193018480493,0.6447876447876468,asia,0.0005807100274838916,0.0
2026-07-01 01:45:00+00:00,54,462,367,3991.8,3994.8,3986.7,3991.8,2026-07-01,235,17.059440559440553,0.4351145038167939,0.5773584905660274,asia,0.0005584978301657429,0.0
2026-07-01 01:50:00+00:00,25,526,375,3991.9,3993.2,3986.7,3988.9,2026-07-01,260,21.499999999999993,0.46886446886446886,0.8037735849056501,asia,0.0005408816314489818,0.0
2026-07-01 01:55:00+00:00,29,133,115,3988.7,3991.9,3988.5,3990.8,2026-07-01,289,26.856643356643342,0.46296296296296297,0.4716981132075472,asia,0.0005280212554986689,0.0
2026-07-01 02:00:00+00:00,-2,275,217,3990.4,3992.7,3987.3,3987.5,2026-07-01,287,33.56993006993006,0.3771186440677966,0.6300578034682067,asia,0.000533717173511913,0.0
2026-07-01 02:05:00+00:00,-14,554,391,3987.4,3987.8,3983.0,3985.5,2026-07-01,273,33.45454545454544,0.7333333333333333,0.6451612903225838,asia,0.0004776135002530622,0.0
2026-07-01 02:10:00+00:00,138,360,271,3985.6,3989.8,3984.8,3989.4,2026-07-01,411,35.63286713286713,0.8936605316973415,0.2903225806451676,asia,0.0004189505465022018,0.0
2026-07-01 02:15:00+00:00,48,349,248,3989.4,3993.6,3988.8,3993.3,2026-07-01,459,36.14685314685314,0.9392789373814042,0.15591397849460487,asia,0.0004197982264612365,0.0
2026-07-01 02:20:00+00:00,35,286,209,3993.6,3995.1,3992.4,3994.5,2026-07-01,494,37.22727272727273,0.9363817097415507,0.22043010752687792,asia,0.00037505534662724926,0.0
2026-07-01 02:25:00+00:00,41,217,166,3994.5,3996.0,3993.0,3993.7,2026-07-01,535,37.818181818181806,0.9381044487427466,0.05913978494623196,asia,0.00034667777578558154,0.0
2026-07-01 02:30:00+00:00,66,378,271,3993.6,3997.8,3991.5,3994.5,2026-07-01,601,39.41958041958042,0.940959409594096,0.4189189189189015,asia,0.00034675016347653797,0.0
2026-07-01 02:35:00+00:00,46,246,187,3994.8,3999.0,3994.6,3996.6,2026-07-01,647,42.04195804195804,0.9391634980988594,0.2874999999999943,asia,0.0002786176867377874,0.0
2026-07-01 02:40:00+00:00,1,141,122,3996.9,3996.9,3993.7,3995.9,2026-07-01,648,42.520979020979006,0.935871743486974,0.2562499999999943,asia,0.00031742146341545805,0.0
2026-07-01 02:45:00+00:00,13,118,101,3996.4,3998.4,3994.9,3995.4,2026-07-01,661,42.68881118881118,0.9301310043668122,0.40625,asia,0.00032020676183068823,0.0
2026-07-01 02:50:00+00:00,35,158,118,3995.3,3998.0,3992.8,3993.2,2026-07-01,696,42.36013986013987,0.9316239316239316,0.14999999999997726,asia,0.00030994444860023057,0.0
2026-07-01 02:55:00+00:00,-25,177,138,3993.6,3994.1,3991.2,3991.9,2026-07-01,671,39.33916083916084,0.8232758620689655,0.2750000000000057,asia,0.0003267615444157263,0.0
2026-07-01 03:00:00+00:00,-2,241,187,3991.8,3995.6,3991.4,3994.9,2026-07-01,669,33.479020979020994,0.8232758620689655,0.5875000000000057,asia,0.00030025187694690314,0.0
2026-07-01 03:05:00+00:00,28,286,195,3994.2,3998.1,3994.0,3997.9,2026-07-01,697,25.388111888111897,0.8870292887029289,0.5985915492957823,asia,0.0002895788354658673,0.0
2026-07-01 03:10:00+00:00,11,111,87,3997.8,3998.5,3996.1,3996.4,2026-07-01,708,21.027972027972037,0.8461538461538461,0.30392156862744746,asia,0.0002636344551515494,0.0
2026-07-01 03:15:00+00:00,13,239,173,3996.3,3999.9,3996.3,3997.0,2026-07-01,721,17.27272727272729,0.8291139240506329,0.28735632183907145,asia,0.0002463119864533449,0.0
2026-07-01 03:20:00+00:00,-33,216,161,3996.8,3996.8,3993.4,3995.5,2026-07-01,688,12.006993006993046,0.6178343949044586,0.20689655172415236,asia,0.00024404626530233472,0.0
2026-07-01 03:25:00+00:00,-66,242,174,3996.0,3996.0,3993.2,3994.1,2026-07-01,622,4.709790209790234,0.25663716814159293,0.04597701149426189,asia,0.00024903111274281675,2.0
2026-07-01 03:30:00+00:00,-12,361,289,3994.5,3994.5,3989.1,3989.7,2026-07-01,610,-0.6573426573426463,0.031578947368421054,0.6388888888888865,asia,0.00024169758240224067,2.0
2026-07-01 03:35:00+00:00,21,221,154,3989.8,3994.2,3989.8,3994.2,2026-07-01,631,-3.1888111888111585,0.06153846153846154,0.15740740740743003,asia,0.0002717281897164047,2.0
2026-07-01 03:40:00+00:00,19,200,135,3994.1,3995.3,3990.2,3990.2,2026-07-01,650,-4.832167832167831,0.007194244604316547,0.48148148148149866,asia,0.0002648516266538503,2.0
2026-07-01 03:45:00+00:00,66,278,185,3990.4,3992.2,3989.3,3990.4,2026-07-01,716,-3.360139860139842,0.1661631419939577,0.2592592592592296,asia,0.00032355894285355824,2.0
2026-07-01 03:50:00+00:00,6,75,54,3990.0,3991.3,3989.8,3990.4,2026-07-01,722,-0.4510489510489243,0.08609271523178808,0.13888888888888654,asia,0.00032492101720646405,2.0
2026-07-01 03:55:00+00:00,37,111,89,3990.6,3993.3,3990.3,3993.3,2026-07-01,759,2.56293706293706,0.2802547770700637,0.14814814814813723,asia,0.00030047770521235656,2.0
2026-07-01 04:00:00+00:00,-19,231,171,3993.4,3993.9,3987.8,3988.6,2026-07-01,740,4.139860139860155,0.21450151057401812,0.7685950413223348,asia,0.0002995857867252689,2.0
2026-07-01 04:05:00+00:00,9,141,101,3988.5,3990.4,3988.3,3988.3,2026-07-01,749,6.839160839160838,0.16666666666666666,0.6694214876033033,asia,0.0002932922685140447,2.0
2026-07-01 04:10:00+00:00,63,214,146,3988.3,3989.3,3987.0,3989.0,2026-07-01,812,12.09790209790208,0.2857142857142857,0.6201550387596856,asia,0.0002945311628641499,2.0
2026-07-01 04:15:00+00:00,16,96,76,3988.6,3989.2,3987.3,3988.8,2026-07-01,828,17.835664335664347,0.29155313351498635,0.6836734693877239,asia,0.00022339240112101994,2.0
2026-07-01 04:20:00+00:00,6,156,102,3988.7,3989.9,3987.6,3989.6,2026-07-01,834,21.55594405594405,0.4294117647058823,0.5,asia,0.00020746091179486397,2.0
2026-07-01 04:25:00+00:00,40,152,97,3989.6,3990.9,3988.9,3990.1,2026-07-01,874,22.79370629370631,0.802547770700637,0.048192771084347254,asia,0.00020515838520553418,2.0
